FOLDER NAME: SKYLARK200_VERGE+XXXS,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK200_VERGE+S,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK200_VERGE+XS,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK150_ROOF-XXS,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK200_VERGE+XXS,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK150_ROOF-XXXS,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK150_FLOOR-XXXS,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK150_FLOOR-XXS,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK200_WINDOW-L2,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK200_DOOR-M2,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK200_VERGE-XXS,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK200_VERGE-XXXS,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK200_VERGE-S,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK200_VERGE-XS,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK200_WINDOW-L4,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-L3,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-XL1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_DOOR-L2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-S2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_DOOR-XL1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_DOOR-M1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-S4,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-S3,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_DOOR-S2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-M1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-L1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-XL4,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-XL3,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-XL2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_DOOR-L1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_DOOR-XL2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-S1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-M2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_DOOR-S1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-M4,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WINDOW-M3,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-5,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_CORNER-XL,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-3,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-5R2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_CORNER-M,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-XL,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_CORNER-L,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-M,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-4R,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-L,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-6,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-6R,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-7,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-3R2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_CORNER-S,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-S,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_WALL-G42-2R,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_SKYLIGHT-XS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_ROOF-XS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_SKYLIGHT-XXXS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_ROOF-S,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_ROOF-42-XXS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_ROOF-42-XS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_ROOF-XXXS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_ROOF-42-XXXS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_SKYLIGHT-XXS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_ROOF-42-S,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_SKYLIGHT-S,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_ROOF-XXS,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_TIES,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_FLOOR-S-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_FLOOR-S-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_XFLOOR-XS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_END-S-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_END-S-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_XFLOOR-XXS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_FLOOR-XXXS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_FLOOR-XXXS-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_FLOOR-XS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_FLOOR-XS-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_END-XXS-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_END-XS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_END-XXXS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_END-XXXS-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_END-XS-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_END-XXS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_XFLOOR-XXXS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_XFLOOR-S-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_FLOOR-XXS-0,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK200_FLOOR-XXS-1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
