FOLDER NAME: SKYLARK250_WALL-S10+4,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+3,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+2,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+5,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+6R,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+5R,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+8R,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-G42-4R2,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+7,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+8,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+6,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+1,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+9R,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_WALL-S10+7R,                            NUMBER OF FILES: 4,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 0
FOLDER NAME: SKYLARK250_DOOR-M2,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK250_DOOR-XL2,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK250_DOOR-S2,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK250_DOOR-L2,                            NUMBER OF FILES: 5,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 1
FOLDER NAME: SKYLARK250_WINDOW-XL1,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK250_WINDOW-L2,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
FOLDER NAME: SKYLARK250_WINDOW-L4,                            NUMBER OF FILES: 6,                           3DM FILES: 1,                            DWG FILES: 1,                            SKP FILES: 1,                            DXF FILES: 1,                           SVG FILES: 2
